 id,city,address, תעשייה , ייצור חשמל , תחבורה ," סה""כ ", עלות - תעשייה , עלות ייצור חשמל , עלות - תחבורה ," סה""כ ",lng,lat, מקדם תעשייה , מקדם חשמל , מקדם תחבורה 
  358 , תל מונד ,,  -   ,  -   ,  32 ,  32 ,  -   ,  -   ,"  2,698,378 ","  2,698,378 ",,,"  35,934 ","  22,818 ","  85,477 "
  396 , גן יבנה ,,  -   ,  -   ,  31 ,  31 ,  -   ,  -   ,"  2,684,707 ","  2,684,707 ",,,"  35,934 ","  22,818 ","  85,477 "
  273 , קרית ים ,,  -   ,  -   ,  30 ,  30 ,  -   ,  -   ,"  2,553,357 ","  2,553,357 ",,,"  35,934 ","  22,818 ","  85,477 "
  383 , יהוד -מונסון ,,  -   ,  -   ,  29 ,  29 ,  -   ,  -   ,"  2,517,421 ","  2,517,421 ",,,"  35,934 ","  22,818 ","  85,477 "
  385 , טירה ,,  -   ,  -   ,  29 ,  29 ,  -   ,  -   ,"  2,511,362 ","  2,511,362 ",,,"  35,934 ","  22,818 ","  85,477 "
  282 , פוריידיס ,,  -   ,  -   ,  29 ,  29 ,  -   ,  -   ,"  2,502,789 ","  2,502,789 ",,,"  35,934 ","  22,818 ","  85,477 "
  404 , אבן יהודה ,,  -   ,  -   ,  28 ,  28 ,  -   ,  -   ,"  2,433,463 ","  2,433,463 ",,,"  35,934 ","  22,818 ","  85,477 "
  182 , ריינה ,,  -   ,  -   ,  27 ,  27 ,  -   ,  -   ,"  2,349,249 ","  2,349,249 ",,,"  35,934 ","  22,818 ","  85,477 "
  380 , כפר יונה ,,  -   ,  -   ,  27 ,  27 ,  -   ,  -   ,"  2,316,564 ","  2,316,564 ",,,"  35,934 ","  22,818 ","  85,477 "
  302 , אור עקיבא ,,  -   ,  -   ,  27 ,  27 ,  -   ,  -   ,"  2,291,439 ","  2,291,439 ",,,"  35,934 ","  22,818 ","  85,477 "
  38 , כפר שמריהו ,,  -   ,  -   ,  26 ,  26 ,  -   ,  -   ,"  2,264,630 ","  2,264,630 ",,,"  35,934 ","  22,818 ","  85,477 "
  359 , שהם ,,  -   ,  -   ,  26 ,  26 ,  -   ,  -   ,"  2,248,833 ","  2,248,833 ",,,"  35,934 ","  22,818 ","  85,477 "
  377 , כפר קאסם ,,  -   ,  -   ,  26 ,  26 ,  -   ,  -   ,"  2,247,543 ","  2,247,543 ",,,"  35,934 ","  22,818 ","  85,477 "
  153 , נחף ,,  -   ,  -   ,  26 ,  26 ,  -   ,  -   ,"  2,234,074 ","  2,234,074 ",,,"  35,934 ","  22,818 ","  85,477 "
  287 , מעלה עירון ,,  -   ,  -   ,  24 ,  24 ,  -   ,  -   ,"  2,048,111 ","  2,048,111 ",,,"  35,934 ","  22,818 ","  85,477 "
  112 , כפר כנא ,,  -   ,  -   ,  24 ,  24 ,  -   ,  -   ,"  2,037,383 ","  2,037,383 ",,,"  35,934 ","  22,818 ","  85,477 "
  57 , ג'דיידה-מכר ,,  -   ,  -   ,  24 ,  24 ,  -   ,  -   ,"  2,030,041 ","  2,030,041 ",,,"  35,934 ","  22,818 ","  85,477 "
  277 , דאלית אל-כרמל ,,  -   ,  -   ,  24 ,  24 ,  -   ,  -   ,"  2,018,021 ","  2,018,021 ",,,"  35,934 ","  22,818 ","  85,477 "
  366 , קדימה - צורן ,,  -   ,  -   ,  23 ,  23 ,  -   ,  -   ,"  1,992,049 ","  1,992,049 ",,,"  35,934 ","  22,818 ","  85,477 "
  278 , עוספייא ,,  -   ,  -   ,  22 ,  22 ,  -   ,  -   ,"  1,923,070 ","  1,923,070 ",,,"  35,934 ","  22,818 ","  85,477 "
  502 , ג'ת ,,  -   ,  -   ,  22 ,  22 ,  -   ,  -   ,"  1,892,853 ","  1,892,853 ",,,"  35,934 ","  22,818 ","  85,477 "
  379 , סביון ,,  -   ,  -   ,  22 ,  22 ,  -   ,  -   ,"  1,840,801 ","  1,840,801 ",,,"  35,934 ","  22,818 ","  85,477 "
  103 , כסרא - סמיע ,,  -   ,  -   ,  19 ,  19 ,  -   ,  -   ,"  1,611,646 ","  1,611,646 ",,,"  35,934 ","  22,818 ","  85,477 "
  185 , שלומי ,,  12 ,  -   ,  6 ,  18 ,"  435,073 ",  -   ,"  519,740 ","  954,813 ",,,"  35,934 ","  22,818 ","  85,477 "
  183 , רמת ישי ,,  -   ,  -   ,  18 ,  18 ,  -   ,  -   ,"  1,545,213 ","  1,545,213 ",,,"  35,934 ","  22,818 ","  85,477 "
